alerted,kind,symbol,issuer_cik,company,detail,url
2026-09-25,13d,IEP,0000813762,ICAHN ENTERPRISES L.P.,Carl Icahn: SCHEDULE 13D/A,https://www.sec.gov/Archives/edgar/data/813762/000153949726002605/0001539497-26-002605-index.htm
2026-09-25,cluster,ADC,0000917251,AGREE REALTY CORP,,
2026-09-25,cluster,AVBC,0002058758,"Avidia Bancorp, Inc.",,
2026-09-25,cluster,BWMX,0001788257,"BETTERWARE DE MEXICO, S.A.P.I. DE C.V",,
2026-09-25,cluster,CELH,0001341766,"Celsius Holdings, Inc.",,
2026-09-25,cluster,COO,0000711404,"COOPER COMPANIES, INC.",,
2026-09-25,cluster,CTSO,0001175151,Cytosorbents Corp,,
2026-09-25,cluster,CYBN,0001833141,CYBIN INC.,,
2026-09-25,cluster,DKS,0001089063,"DICK'S SPORTING GOODS, INC.",,
2026-09-25,cluster,DY,0000067215,DYCOM INDUSTRIES INC,"3 insiders, $551,307",
2026-09-25,cluster,GAM,0000040417,GENERAL AMERICAN INVESTORS CO INC,,
2026-09-25,cluster,GME,0001326380,GameStop Corp.,,
2026-09-25,cluster,GPUS,0000896493,"Hyperscale Data, Inc.",,
2026-09-25,cluster,GRNT,0001928446,"Granite Ridge Resources, Inc.",,
2026-09-25,cluster,GROV,0001841761,"Grove Collaborative Holdings, Inc.",,
2026-09-25,cluster,INBX,0002007919,"Inhibrx Biosciences, Inc.",,
2026-09-25,cluster,LMB,0001606163,"Limbach Holdings, Inc.",,
2026-09-25,cluster,LUCK,0001840572,Lucky Strike Entertainment Corp,,
2026-09-25,cluster,MCFT,0001638290,"MasterCraft Boat Holdings, Inc.",,
2026-09-25,cluster,RWT,0000930236,REDWOOD TRUST INC,,
2026-09-25,cluster,TENX,0000034956,"TENAX THERAPEUTICS, INC.",,
2026-09-25,cluster,UAMY,0000101538,UNITED STATES ANTIMONY CORP,,
2026-09-26,big,CX,0001076378,CEMEX SAB DE CV,Zambrano Lozano Rogelio: $6.9M,
