filed,accession,issuer_cik,issuer_name,symbol,insider,role,trade_date,shares,price,value
2026-08-26,0001214659-26-010931,0000102109,"UNIVERSAL SAFETY PRODUCTS, INC.",UUU,AULT MILTON C III,"Director, 10% owner",2026-08-24,10000.0,6.5904,65904.0
2026-08-26,0001214659-26-010931,0000102109,"UNIVERSAL SAFETY PRODUCTS, INC.",UUU,AULT MILTON C III,"Director, 10% owner",2026-08-25,8729.0,6.0344,52674.2776
2026-08-26,0001214659-26-010931,0000102109,"UNIVERSAL SAFETY PRODUCTS, INC.",UUU,AULT MILTON C III,"Director, 10% owner",2026-08-26,10000.0,6.0782,60782.0
2026-08-26,0002051327-26-000018,0000711669,COLONY BANKCORP INC,CBAN,Canup Edward G,CHIEF BANKING OFFICER,2026-08-26,1000.0,21.2,21200.0
2026-08-26,0000723188-26-000106,0000723188,"COMMUNITY FINANCIAL SYSTEM, INC.",CBU,Hall Brenda M,Director,2026-08-24,476.0,63.5946,30271.0296
2026-08-26,0001236030-26-000008,0000725363,CEL SCI CORP,CVM,KERSTEN GEERT R,"Director, Chief Executive Officer",2026-08-25,100000.0,1.38,138000.0
2026-08-26,0001225208-26-007337,0000885725,BOSTON SCIENTIFIC CORP,BSX,Morano Susan E,Director,2026-08-25,2040.0,49.2195,100407.78
2026-08-26,0001213900-26-093824,0000910329,MEDIFAST INC,MED,Kiai Parsa,Director,2026-08-24,4211.0,11.9996,50530.315599999994
2026-08-26,0000932781-26-000046,0000932781,FIRST COMMUNITY CORP /SC/,FCCO,Sosebee Jane S,Director,2026-08-25,1250.0,33.945,42431.25
2026-08-26,0001628873-26-000086,0001059213,BEXIL INVESTMENT TRUST,BXSY,Winmill William McCollum,Director,2026-08-26,800.0,18.1,14480.000000000002
2026-08-26,0002133000-26-000008,0001227500,EQUITY BANCSHARES INC,EQBK,Rogerson Donald Scott,Director,2026-08-21,2000.0,50.0,100000.0
2026-08-26,0002057567-26-000006,0001336706,NORTHPOINTE BANCSHARES INC,NPB,Williams Charles Alan,"Director, CHAIRMAN & CEO, 10% owner",2026-08-25,30000.0,16.9475,508425.00000000006
2026-08-26,0002057567-26-000006,0001336706,NORTHPOINTE BANCSHARES INC,NPB,Williams Charles Alan,"Director, CHAIRMAN & CEO, 10% owner",2026-08-26,48312.0,16.9457,818680.6584
2026-08-26,0001140361-26-034452,0001378950,"CarParts.com, Inc.",PRTS,PHELPS BARRY,Director,2026-08-25,9900.0,6.48,64152.00000000001
2026-08-26,0001532010-26-000003,0001395942,"OPENLANE, Inc.",OPLN,Kelly Peter J,"Director, Chief Executive Officer",2026-08-24,14830.1521,33.715,499998.5780515
2026-08-26,0001464633-26-000004,0001449794,"Embassy Bancorp, Inc.",EMYB,Lesavoy Bernard M,Director,2026-08-26,746.0,22.2968,16633.412800000002
2026-08-26,0001464633-26-000004,0001449794,"Embassy Bancorp, Inc.",EMYB,Lesavoy Bernard M,Director,2026-08-26,600.0,22.3,13380.0
2026-08-26,0001628280-26-059098,0001488139,"Ameresco, Inc.",AMRC,Miller Jennifer L,Director,2026-08-24,2000.0,20.96,41920.0
2026-08-26,0001628280-26-059096,0001488139,"Ameresco, Inc.",AMRC,Sakellaris George P,"Director, Chief Executive Officer, 10% owner",2026-08-24,5000.0,20.91,104550.0
2026-08-26,0001628280-26-059096,0001488139,"Ameresco, Inc.",AMRC,Sakellaris George P,"Director, Chief Executive Officer, 10% owner",2026-08-25,938.0,21.6,20260.800000000003
2026-08-26,0001628280-26-059096,0001488139,"Ameresco, Inc.",AMRC,Sakellaris George P,"Director, Chief Executive Officer, 10% owner",2026-08-25,4062.0,22.03,89485.86
2026-08-26,0001628280-26-059097,0001488139,"Ameresco, Inc.",AMRC,Sutton Joseph W.,Director,2026-08-24,9700.0,20.87,202439.0
2026-08-26,0001221359-26-000048,0001500217,"American Assets Trust, Inc.",AAT,RADY ERNEST S,"Director, Executive Chairman, 10% owner",2026-08-24,29729.0,22.74,676037.46
2026-08-26,0001221359-26-000048,0001500217,"American Assets Trust, Inc.",AAT,RADY ERNEST S,"Director, Executive Chairman, 10% owner",2026-08-26,50000.0,22.89,1144500.0
2026-08-26,0001206714-26-000009,0001504461,NGL Energy Partners LP,NGL,COLLINGSWORTH JAMES M,Director,2026-08-25,10808.0,16.824,181833.79200000002
2026-08-26,0001186173-26-000004,0001504461,NGL Energy Partners LP,NGL,RAYMOND JOHN T,Director,2026-08-25,300000.0,16.98,5094000.0
2026-08-26,0001505732-26-000108,0001505732,"Bankwell Financial Group, Inc.",BWFG,SEIDMAN LAWRENCE B,Director,2026-08-25,994.0,65.89,65494.66
2026-08-26,0001505732-26-000108,0001505732,"Bankwell Financial Group, Inc.",BWFG,SEIDMAN LAWRENCE B,Director,2026-08-25,259.0,65.94,17078.46
2026-08-26,0001505732-26-000108,0001505732,"Bankwell Financial Group, Inc.",BWFG,SEIDMAN LAWRENCE B,Director,2026-08-25,219.0,65.96,14445.239999999998
2026-08-26,0001505732-26-000108,0001505732,"Bankwell Financial Group, Inc.",BWFG,SEIDMAN LAWRENCE B,Director,2026-08-25,662.0,65.9,43625.8
2026-08-26,0001505732-26-000108,0001505732,"Bankwell Financial Group, Inc.",BWFG,SEIDMAN LAWRENCE B,Director,2026-08-25,262.0,65.94,17276.28
2026-08-26,0001493152-26-040281,0001509470,Neostellar Capital Corp.,NSLR,Falk Erik A,Director,2026-08-26,50000.0,10.22,511000.00000000006
2026-08-26,0001227454-26-000012,0001562401,American Homes 4 Rent,AMH,CORRIGAN JACK E,Director,2026-08-24,1000.0,22.385,22385.0
2026-08-26,0001227454-26-000012,0001562401,American Homes 4 Rent,AMH,CORRIGAN JACK E,Director,2026-08-24,700.0,22.39,15673.0
2026-08-26,0001227454-26-000012,0001562401,American Homes 4 Rent,AMH,CORRIGAN JACK E,Director,2026-08-24,1800.0,22.46,40428.0
2026-08-26,0001227454-26-000012,0001562401,American Homes 4 Rent,AMH,CORRIGAN JACK E,Director,2026-08-24,2000.0,22.426,44852.0
