date,symbol,asset_class,price,score,label,coverage,trend,momentum,smart_money,insider,news,version
2026-09-24,AAPL,stock,335.92,48.3,Strong bullish,1.0,100.0,72.0,15.0,0.0,15.4,2
2026-09-24,AMZN,stock,249.38,41.9,Strong bullish,1.0,50.0,49.4,75.0,0.0,13.3,2
2026-09-24,BRK-B,stock,505.18,41.2,Strong bullish,1.0,50.0,14.5,80.9,50.0,9.2,2
2026-09-24,BTC-USD,crypto,84321.23,29.6,Bullish,0.65,100.0,-30.6,,,12.5,2
2026-09-24,ETH-USD,crypto,2684.63,31.1,Bullish,0.65,100.0,-36.7,,,29.2,2
2026-09-24,GOOGL,stock,342.36,46.1,Strong bullish,1.0,50.0,83.7,85.4,-30.0,0.8,2
2026-09-24,JPM,stock,338.56,24.5,Bullish,1.0,50.0,62.0,-33.3,0.0,20.8,2
2026-09-24,META,stock,777.59,-5.5,Neutral,1.0,50.0,-73.0,6.4,-30.0,23.3,2
2026-09-24,MSFT,stock,497.93,25.0,Bullish,1.0,100.0,-8.2,-8.6,0.0,25.4,2
2026-09-24,NVDA,stock,224.58,34.6,Bullish,1.0,100.0,47.8,-2.1,-30.0,17.1,2
2026-09-24,QQQ,stock,741.1,50.0,Strong bullish,0.85,100.0,74.8,0.0,,-8.3,2
2026-09-24,SOL-USD,crypto,116.63,31.5,Bullish,0.65,100.0,-39.1,,,35.0,2
2026-09-24,SPY,stock,767.18,47.7,Strong bullish,1.0,100.0,85.4,0.0,0.0,8.8,2
2026-09-24,TSLA,stock,377.94,-25.9,Bearish,1.0,-50.0,-36.4,-5.0,-30.0,7.9,2
2026-09-24,XOM,stock,162.14,58.8,Strong bullish,1.0,100.0,96.0,33.3,0.0,21.2,2
2026-09-26,AAPL,stock,341.07,51.2,Strong bullish,1.0,100.0,76.5,15.0,0.0,27.5,2
2026-09-26,AMZN,stock,249.67,41.7,Strong bullish,1.0,50.0,49.2,75.0,0.0,12.5,2
2026-09-26,BRK-B,stock,505.48,41.5,Strong bullish,1.0,50.0,10.7,80.9,50.0,17.5,2
2026-09-26,BTC-USD,crypto,84052.81,30.2,Bullish,0.65,100.0,-32.7,,,18.8,2
2026-09-26,ETH-USD,crypto,2690.01,29.3,Bullish,0.65,100.0,-37.5,,,22.9,2
2026-09-26,GOOGL,stock,343.92,49.2,Strong bullish,1.0,50.0,84.3,85.4,-30.0,20.4,2
2026-09-26,JPM,stock,343.06,23.2,Bullish,1.0,50.0,61.1,-33.3,0.0,14.2,2
2026-09-26,META,stock,751.66,2.7,Neutral,1.0,50.0,-52.4,6.4,-30.0,43.3,2
2026-09-26,MSFT,stock,516.17,25.2,Bullish,1.0,100.0,-5.9,-8.6,0.0,22.9,2
2026-09-26,NVDA,stock,225.07,35.2,Bullish,1.0,100.0,45.9,-2.1,-30.0,24.2,2
2026-09-26,QQQ,stock,744.5,52.9,Strong bullish,0.85,100.0,76.0,0.0,,6.2,2
2026-09-26,SOL-USD,crypto,122.02,31.0,Bullish,0.65,100.0,-40.5,,,35.0,2
2026-09-26,SPY,stock,771.35,48.2,Strong bullish,1.0,100.0,86.2,0.0,0.0,11.2,2
2026-09-26,TSLA,stock,372.11,-29.0,Bearish,1.0,-50.0,-44.0,-5.0,-30.0,0.0,2
2026-09-26,XOM,stock,160.59,57.8,Strong bullish,1.0,100.0,92.4,33.3,0.0,20.0,2
